,2006,,2011,,2016,,2021,
,N,%,N,%,N,%,N,%
English only,"1,983,865",84.2,"2,158,640",86,"2,209,775",86.2,"2,288,035",86.1
French only,"4,910",0.2,"2,585",0.1,"2,715",0.1,"2,590",0.1
Both English and French,"357,725",15.2,"338,250",13.5,"339,850",13.3,"356,415",13.4
Neither English nor French,"10,465",0.4,"11,320",0.5,"12,100",0.5,"10,020",0.4
