,2006,,2011,,2016,,2021,
,N,%,N,%,N,%,N,%
Born in Canada,"1,819,190",77.2,"1,940,320",77.3,"1,954,415",76.2,"1,921,440",72.3
Born outside of Canada,"537,780",22.8,"570,475",22.7,"610,030",23.8,"735,635",27.7
Total,"2,356,970",100,"2,510,795",100,"2,564,440",100,"2,657,060",100
