category,Year,Age 15-19,Age 20-24,Age 25-29
Attended school,2006,686990,444265,167255
Did not attend school,2006,140565,346920,570970
Attended school,2011,741565,485945,185460
Did not attend school,2011,115385,359445,622980
Attended school,2016,715200,499950,186045
Did not attend school,2016,92025,388625,682600
Attended school,2021,700935,473755,171470
Did not attend school,2021,98360,414850,797705
