category,2006,2011,2016,2021
15 to 19 years - Born in Canada,827560,856955,807215,799290
20 to 24 years - Born in Canada,791185,845395,888580,888600
25 to 29 years - Born in Canada,738225,808445,868645,969170
15 to 19 years - Born outside of Canada,149105,138330,148925,148180
20 to 24 years - Born outside of Canada,188205,196660,205205,263425
25 to 29 years - Born outside of Canada,200470,235485,255900,324030
